source,target,value
Jellis,Fitzroy,2300000
Noel,Forest Hill,730000
Ray,Frankston,695000
hockingstuart,Frankston South,1155000
Eview,Frankston South,1905000
Barry,Gladstone Park,670000
Marshall,Glen Iris,1300000
Barry,Glenroy,835000
Nelson,Glenroy,830000
Stockdale,Glenroy,780000
Stockdale,Gowanbrae,635000
Barry,Greenvale,797000
Marshall,Hampton,1900000
Brad,Kealba,750000
Nelson,Kew,1690000
Biggin,Maidstone,722000
Biggin,Maribyrnong,983000
Nelson,Meadow Heights,482000
hockingstuart,Melton,430000
YPA,Melton West,438000
Hodges,Mentone,900000
Buxton,Mentone,960500
Obrien,Mentone,840000
Sweeney,Moonee Ponds,1210000
Ray,Mulgrave,650000
Ray,Mulgrave,1105000
Greg,Newport,940000
Barry,Niddrie,1300000
Woodards,Oakleigh,1150000
Marshall,Ormond,2110000
Hodges,Parkdale,1320000
Brad,Pascoe Vale,676000
Barry,Point Cook,540000
Stockdale,Reservoir,861000
Stockdale,Reservoir,612500
RW,Reservoir,900000
Max,Ringwood,1120000
Raine,Roxburgh Park,570000
Sweeney,St Albans,645000
Considine,Strathmore,1280000
Barry,Sunbury,570000
YPA,Sunbury,540000
Barry,Sunbury,482000
Douglas,Sunshine West,713500
Barry,Taylors Lakes,705000
McGrath,Thornbury,1375000
Jellis,Thornbury,900000
hockingstuart,Werribee,630000
McNaughton,Werribee,510000
Marshall,Armadale,995000
Jellis,Armadale,1205000
Jellis,Armadale,1939000
Jellis,Brunswick,1802500
Nelson,Brunswick,1500000
Hodges,Armadale,1870000
Jellis,Armadale,1918000
Marshall,Armadale,2050000
Nelson,Brunswick,2230000
Ray,Brunswick,410000
Walshe,Brunswick,272500
Nelson,Brunswick,680000
hockingstuart,Bayswater,750000
Barry,Berwick,815000
Ray,Chelsea Heights,580000
Barry,Clayton South,1000000
Barry,Clayton South,750000
Barry,Craigieburn,595000
Barry,Craigieburn,540000
Jellis,Croydon South,952000
Barry,Doncaster,1350000
Bowman,Frankston,655888
RW,Greenvale,735000
HAR,Melton South,413000
hockingstuart,Melton South,431500
HAR,Melton South,720000
McDonald,Moonee Ponds,1400000
Nelson,Moonee Ponds,1275000
hockingstuart,Mordialloc,850000
LLC,Mount Waverley,1820000
Barry,Northcote,1085000
Collins,Parkville,2675000
Point,Point Cook,635000
Barry,Rowville,900000
Barry,Truganina,603000
Ray,Wallan,411000
Barry,Warrandyte,1162000
Barry,Wyndham Vale,496000
Barry,Airport West,970000
Barry,Airport West,790000
Barry,Altona Meadows,718000
Buxton,Aspendale,1000000
Barry,Avondale Heights,727500
Fletchers,Balwyn,4600000
Fletchers,Balwyn North,1960000
Noel,Bayswater,910000
Barry,Bayswater,862000
iTRAK,Bayswater,822000
Noel,Blackburn North,1570000
Schroeder,Boronia,629000
Nelson,Briar Hill,825000
Nick,Brighton,1900000
Hodges,Brighton East,1262000
Nelson,Brunswick,1011000
Lindellas,Brunswick,1150000
Nelson,Brunswick,970000
Jellis,Brunswick,1665000
Gary,Caulfield South,1675000
Ray,Cheltenham,800000
O'Brien,Cheltenham,888000
Collins,Clifton Hill,1300000
Jellis,Coburg,1090000
Brad,Coburg North,730000
Nelson,Coburg North,950000
Nelson,Coburg North,800000
Harrington,Collingwood,1079500
HAR,Craigieburn,380000
hockingstuart,Cremorne,1245000
Harcourts,Deepdene,3080000
Barry,Diamond Creek,588000
Morrison,Diamond Creek,700000
Ray,Dingley Village,952000
hockingstuart,Doncaster East,1198000
C21,Endeavour Hills,656000
Ray,Epping,432000
HAR,Epping,611000
Millership,Epping,571550
Nelson,Essendon,2200000
hockingstuart,Fawkner,767500
hockingstuart,Fawkner,783000
hockingstuart,Frankston,840000
O'Brien,Frankston,560000
Barry,Frankston,636000
Ray,Frankston,672500
O'Brien,Frankston,574000
hockingstuart,Frankston,1150000
Ray,Frankston South,1200000
Barry,Gladstone Park,620000
Barry,Gladstone Park,730000
Stockdale,Glenroy,530000
Nelson,Gowanbrae,790000
Nelson,Gowanbrae,700000
