source,target,value
Ray,Dingley Village,854000
Barry,Donvale,920000
Fletchers,Donvale,904000
Miles,Eaglemont,1440000
Barry,Eltham,1054000
O'Brien,Endeavour Hills,625000
Love,Epping,600000
Ray,Epping,630000
Iconek,Epping,1012000
Ray,Epping,565000
McDonald,Essendon,502500
Jellis,Essendon West,1410000
Ray,Ferntree Gully,748888
Noel,Ferntree Gully,850000
hockingstuart,Fitzroy,490000
Sweeney,Footscray,395000
Village,Footscray,991000
Ray,Forest Hill,945000
Ray,Forest Hill,1020000
Aquire,Frankston,506000
Ray,Frankston,755000
Raine,Gisborne,426000
Woodards,Glen Iris,540000
Ray,Glen Waverley,960000
Harcourts,Glen Waverley,1116500
Darren,Greensborough,585000
Darren,Greensborough,800000
Fletchers,Greensborough,896000
Marshall,Hawthorn,1150000
Marshall,Hawthorn,1100000
Fletchers,Heathmont,525000
Barry,Heidelberg Heights,650000
Harcourts,Heidelberg West,580000
Reliance,Hoppers Crossing,536500
Brad,Keilor Downs,705000
Brad,Keilor Downs,590000
Nelson,Keilor East,920000
Nelson,Keilor East,1100000
Whiting,Keilor East,840000
Edward,Kensington,535000
Marshall,Kew,1080000
hockingstuart,Keysborough,575000
Jas,Maidstone,930000
Jas,Maidstone,650000
Jas,Maidstone,702000
Woodards,Maribyrnong,440000
RW,Meadow Heights,520000
Stockdale,Meadow Heights,520000
RW,Meadow Heights,515000
Galldon,Melbourne,387000
hockingstuart,Melton South,336000
Raine,Melton South,426000
Harcourts,Mill Park,775500
Love,Mill Park,726000
Ray,Mill Park,710000
Buckingham,Montmorency,820000
Jellis,Moonee Ponds,1425000
Buxton,Moorabbin,935000
Jellis,Mount Waverley,2248000
Buxton,Mount Waverley,1260000
Ray,Mulgrave,960000
Woodards,Murrumbeena,956000
Only,Narre Warren,605000
Nelson,Niddrie,950000
Nelson,North Melbourne,541000
Ray,Northcote,1307500
One,Notting Hill,1211000
Buxton,Oakleigh,1610000
Ray,Oakleigh East,1150000
C21,Pakenham,435000
Hodges,Parkdale,1190000
Barry,Parkdale,503750
hockingstuart,Point Cook,690000
hockingstuart,Point Cook,596000
hockingstuart,Point Cook,698000
hockingstuart,Prahran,500000
Ray,Reservoir,953000
Nelson,Reservoir,468000
Raine,Reservoir,710000
Barry,Reservoir,502000
hockingstuart,Richmond,800000
Noel,Ringwood East,710000
Barry,Rowville,735000
Harcourts,Rowville,755000
Raine,Roxburgh Park,537000
hockingstuart,Seaford,386000
U,Seaford,763000
Buxton,Seaford,768000
Greg,South Melbourne,2800000
Harcourts,South Morang,345000
hockingstuart,South Yarra,666000
RW,St Albans,610000
Raine,St Albans,550000
Westside,St Albans,520000
McGrath,St Kilda,470000
Jas,Sunshine,860000
Barry,Taylors Lakes,853000
Marshall,Toorak,1140000
McGrath,Travancore,341500
Philip,Vermont,1111500
Noel,Wantirna South,1045000
Ray,Wantirna South,622000
Gardiner,Warrandyte,826000
Darren,Watsonia,655000
Greg,Werribee,505000
Greg,Werribee,335000
Jas,West Footscray,700000
YPA,Westmeadows,800000
Ray,Wheelers Hill,1090000
Williams,Williamstown,1920000
hockingstuart,Wollert,530000
Village,Yarraville,982500
Jas,Yarraville,1230000
RT,Armadale,1800000
Jellis,Armadale,2200000
Nelson,Brunswick,770000
Walshe,Brunswick,279500
Nelson,Brunswick,1800000
Nelson,Brunswick,1350000
Nelson,Brunswick,1320000
Nelson,Brunswick,825000
Nelson,Brunswick,1261000
Jellis,Brunswick,1045000
Jellis,Brunswick,1044000
Barry,Aberfeldie,1650000
Marshall,Armadale,1715000
Jellis,Ashburton,1555000
Jellis,Balwyn,2730000
Buxton,Beaumaris,3778000
Jellis,Bentleigh,2210000
Jellis,Bentleigh East,1070000
Jellis,Blackburn,1900000
Noel,Blackburn,1850000
Ray,Blackburn South,1100000
hockingstuart,Bonbeach,1830000
Fletchers,Boronia,700000
Douglas,Braybrook,840000
Marshall,Brighton,1342000
Buxton,Brighton,1960000
Nelson,Brunswick,911000
Jellis,Brunswick,1820000
Nelson,Brunswick East,950000
Jellis,Bulleen,1225000
Barry,Bundoora,1505000
Ray,Bundoora,730000
Noel,Camberwell,2835000
Jellis,Camberwell,2450000
Woodards,Carnegie,850000
Ray,Carnegie,1508000
Ray,Chelsea,875000
Ray,Cheltenham,1201000
Buxton,Clayton,810000
Nelson,Coburg,975000
Brad,Coburg,880000
Peter,Coburg North,841000
Chambers,Collingwood,931000
hockingstuart,Craigieburn,492000
RW,Croydon,858000
O'Brien,Dandenong North,682000
Buxton,Dingley Village,1281000
McGrath,Doncaster,751000
Parkes,Doncaster East,1330000
C21,Doveton,469000
Fletchers,Eltham,915000
Brad,Essendon,1150000
McGrath,Fairfield,1255000
Love,Fairfield,1300000
Eview,Frankston South,760000
hockingstuart,Glen Waverley,1275000
Barry,Glen Waverley,1480000
Morrison,Greensborough,922000
Morrison,Greensborough,865000
hockingstuart,Greenvale,650000
Follett,Hampton,1820000
Nick,Hampton,1450000
Jellis,Hawthorn,2325000
Marshall,Hawthorn,1450000
Barry,Hillside,628000
Prof.,Hillside,645500
One,Hoppers Crossing,525000
Raine,Jacana,626000
Barry,Keilor,840000
Nelson,Keilor East,1230000
Jellis,Kew East,1325000
Lindellas,Kew East,1975000
Jas,Kingsville,1140000
Jas,Kingsville,1000000
Marshall,Malvern,2750000
YPA,Meadow Heights,370000
hockingstuart,Mentone,995000
Love,Mill Park,900000
Marshall,Mont Albert,2500000
Nelson,Moonee Ponds,1200000
Jellis,Moorabbin,828000
LLC,Mount Waverley,2420000
Harcourts,Mount Waverley,1335000
Jellis,Mount Waverley,1480000
RW,Mulgrave,1100000
Harcourts,Narre Warren,792500
Williams,Newport,1262000
Sweeney,Newport,1210000
Nelson,Niddrie,1186000
Jellis,Northcote,1320000
Nelson,Oak Park,725000
Nelson,Pascoe Vale,850000
LJ,Point Cook,765000
hockingstuart,Point Cook,635000
Greg,Port Melbourne,1960000
Ray,Reservoir,465000
Nelson,Reservoir,920000
Jellis,Richmond,1500000
Fletchers,Ringwood East,746000
Raine,Roxburgh Park,380000
Buxton,Sandringham,1915000
One,Scoresby,962000
Greg,South Melbourne,855000
YPA,Sunbury,405000
YPA,Sunbury,482000
Leeburn,Sunbury,436000
Douglas,Sunshine North,665000
Garvey,Surrey Hills,1810000
Woodards,Surrey Hills,2230000
Jellis,Templestowe,1930000
HAR,Thomastown,750000
McGrath,Thornbury,1605000
Jellis,Viewbank,1009000
Ray,Wallan,366000
Ray,Wantirna South,1440000
Ray,Wantirna South,1060000
Buckingham,Watsonia,792000
Reliance,Werribee,470000
YPA,Werribee,515000
YPA,Werribee,603500
Jas,West Footscray,870000
Douglas,West Footscray,1060000
Joseph,West Melbourne,1500000
hockingstuart,Williams Landing,555000
Jellis,Windsor,1425000
Jas,Yarraville,1190000
Biggin,Abbotsford,955000
Biggin,Abbotsford,1200000
Barry,Altona Meadows,783000
Rendina,Ascot Vale,1550000
Marshall,Balwyn North,2350000
Buxton,Beaumaris,2082000
Buxton,Beaumaris,1730000
Jellis,Bentleigh East,1100000
Jellis,Bentleigh East,1160000
Jellis,Bentleigh East,1430000
Nelson,Blackburn North,990000
Fletchers,Blackburn South,1050000
Noel,Blackburn South,1250000
Jellis,Boronia,765000
Nick,Brighton East,2745000
Buxton,Brighton East,1420000
Nick,Brighton East,3300000
YPA,Broadmeadows,620000
Jellis,Brunswick,1585000
Fletchers,Bulleen,1198000
Jellis,Burnley,1940000
Lindellas,Burwood,1320000
Barry,Burwood East,1250000
RT,Camberwell,2650000
Marshall,Camberwell,2420000
Garvey,Camberwell,1550000
Nelson,Carlton,650000
YPA,Caroline Springs,580000
O'Brien,Cheltenham,1150000
Ray,Cheltenham,1360000
C21,Clarinda,1150000
Nelson,Coburg,1030000
Nelson,Coburg,1085000
Nelson,Coburg,740000
Barry,Coburg,1320000
Skad,Coolaroo,495000
Barry,Craigieburn,515000
Barry,Craigieburn,525000
Barry,Craigieburn,562750
Barry,Craigieburn,495000
Ray,Craigieburn,655000
Ray,Craigieburn,535000
Fletchers,Croydon,800000
Ray,Croydon North,665500
McGrath,Croydon North,610000
Jellis,Croydon South,702000
Noel,Croydon South,1000000
McLennan,Dandenong,570000
Stockdale,Dandenong North,590000
YPA,Delahey,615000
Stockdale,Derrimut,805000
Jellis,Donvale,1950000
Barry,Doreen,580000
Barry,Doreen,585500
Barry,Epping,616000
Brad,Fawkner,725000
Brad,Fawkner,800500
McGrath,Fawkner,700000
O'Brien,Frankston,823000
Purplebricks,Frankston South,730000
Harcourts,Glen Waverley,1758000
Ray,Glen Waverley,1459000
Harcourts,Glen Waverley,1700000
Barry,Greenvale,700000
Nelson,Hadfield,730000
Buxton,Hampton East,1710000
Jellis,Hawthorn,1600000
Marshall,Hawthorn East,2800000
Ray,Hoppers Crossing,571000
Barry,Hoppers Crossing,610000
Prof.,Keilor Downs,650000
Nelson,Keilor East,1750000
Alexkarbon,Keilor East,901500
Nelson,Keilor East,763000
Marshall,Kew East,2025000
Love,Lalor,580000
Love,Lalor,540000
Jellis,Malvern,2360000
Marshall,Malvern East,1960000
Nelson,Maribyrnong,1300000
Biggin,Maribyrnong,1010000
Buxton,McKinnon,1200000
YPA,Meadow Heights,525000
Ryder,Melton,350000
YPA,Melton,415000
Ryder,Melton South,466000
Ryder,Melton South,892000
hockingstuart,Melton West,568000
Stockdale,Mernda,687000
Stockdale,Mickleham,740000
Ray,Mill Park,702000
HAR,Mill Park,785000
hockingstuart,Mitcham,1050000
Philip,Mitcham,985000
Jellis,Montmorency,850000
Jellis,Moonee Ponds,1550000
Buxton,Moorabbin,1050000
Barry,Mount Waverley,940000
Harcourts,Mount Waverley,1530000
Barry,Mulgrave,825000
Jas,Newport,868100
Ray,Oakleigh,1320000
Buxton,Parkdale,1240000
Barry,Pascoe Vale,755000
Point,Point Cook,815000
Point,Point Cook,766000
Cayzer,Port Melbourne,1200000
Jellis,Prahran,1500000
Ray,Reservoir,880000
Nelson,Reservoir,980000
hockingstuart,Ringwood East,860000
Hodges,Sandringham,1720000
Buxton,Sandringham,2115000
Buxton,Sandringham,1800000
Sweeney,Seddon,885000
Jas,Seddon,1170000
Greg,South Melbourne,2200000
Thomson,South Yarra,3030000
Jas,Spotswood,1222000
Le,Springvale,820000
Nelson,St Albans,694000
Brad,Strathmore,1300000
Considine,Strathmore,880000
Hodges,Strathmore,917000
Jellis,Templestowe,1506666
Fletchers,Templestowe,1390000
Jellis,Templestowe Lower,1600000
Nelson,Thornbury,1400000
McGrath,Thornbury,903000
Benlor,Truganina,574000
hockingstuart,Werribee,660000
Barry,Werribee,495000
Ray,Werribee,720000
hockingstuart,Yarraville,970000
Ray,Albion,750000
Barry,Albion,781000
Greg,Altona North,750000
RT,Armadale,1899000
Brad,Ascot Vale,838000
Jellis,Ascot Vale,1610000
Nelson,Ascot Vale,1310000
Jellis,Ashwood,1150000
hockingstuart,Aspendale,940000
Area,Aspendale Gardens,811250
Jellis,Balwyn,1720000
Fletchers,Balwyn,2801000
hockingstuart,Balwyn North,3200000
Jellis,Balwyn North,1450000
Buxton,Bentleigh,2000000
Jellis,Bentleigh,2275000
Woodards,Bentleigh,1100000
Buxton,Bentleigh East,1125000
Jellis,Bentleigh East,1250000
Noel,Blackburn North,900000
Woodards,Blackburn South,1367000
Buxton,Bonbeach,1050000
Noel,Boronia,740000
Buxton,Box Hill,4600000
GL,Braybrook,780000
Marshall,Brighton,3000000
Marshall,Brighton East,2350000
Woodards,Brighton East,1380000
YPA,Broadmeadows,540000
YPA,Broadmeadows,595000
Brad,Brunswick,1520000
Nelson,Brunswick,955000
Nelson,Brunswick,1450000
Peter,Brunswick,1105000
Love,Bundoora,784000
Barry,Bundoora,760000
Ray,Bundoora,962250
Buxton,Burwood,1217000
Barry,Cairnlea,734000
Marshall,Camberwell,2100000
Marshall,Camberwell,1430000
Marshall,Camberwell,2100000
Collins,Carlton,1750000
O'Brien,Carrum Downs,631000
Gary,Caulfield South,2050000
Gary,Caulfield South,1490000
Barry,Cheltenham,1111000
Greg,Cheltenham,1200000
Darras,Clayton,1870000
Nelson,Clifton Hill,1040000
Peter,Coburg,905000
Love,Coburg,900000
Nelson,Coburg North,801000
Barry,Coburg North,830000
HAR,Craigieburn,695000
Ray,Craigieburn,770000
Ray,Craigieburn,540000
Ray,Craigieburn,590000
Jellis,Croydon,664000
McGrath,Croydon,1165000
Stockdale,Dallas,620000
Barry,Dallas,520000
Del,Dandenong,1400000
Wyndham,Deer Park,580500
Barry,Diamond Creek,750000
Prof.,Diggers Rest,550000
Ray,Dingley Village,1000000
Jellis,Doncaster,1160000
Barry,Doncaster,1600000
Jellis,Doncaster,1310000
Jellis,Doncaster,1320000
Barry,Doncaster East,1385000
Barry,Donvale,900000
Barry,Donvale,800000
Harcourts,Doreen,530000
Ray,Epping,720500
HAR,Epping,680000
HAR,Epping,670000
Raine,Epping,685000
hockingstuart,Epping,649000
Rendina,Essendon,1727000
Nelson,Essendon,1210000
Barry,Essendon,1650000
McDonald,Essendon,2100000
Miles,Fairfield,1360000
HAR,Fawkner,945000
Schroeder,Ferntree Gully,860000
Ray,Ferntree Gully,851000
Nelson,Fitzroy North,1700000
hockingstuart,Fitzroy North,1875000
Nelson,Flemington,1120000
Jas,Footscray,850000
Barry,Frankston,686000
Ray,Gladstone Park,700000
hockingstuart,Glen Huntly,1900000
Nelson,Glenroy,880000
Stockdale,Glenroy,550000
Nelson,Gowanbrae,665000
Nelson,Gowanbrae,770000
Morrison,Greensborough,1120000
Buckingham,Greensborough,808000
Ray,Greensborough,930000
Darren,Greensborough,931000
Ray,Greenvale,588000
Jason,Greenvale,800000
Ray,Greenvale,677000
Ray,Greenvale,703000
Barry,Hadfield,685000
Kay,Hawthorn,3500000
Kay,Hawthorn East,3575000
Fletchers,Heathmont,1050000
Nelson,Heidelberg Heights,1320000
Barry,Hillside,650000
Prof.,Hillside,640000
Prof.,Hillside,550000
Greg,Hoppers Crossing,482500
hockingstuart,Hoppers Crossing,530000
YPA,Hoppers Crossing,473000
Wyndham,Hoppers Crossing,475000
Ray,Hughesdale,815000
RW,Jacana,615000
Barry,Kealba,668500
Nelson,Keilor East,1080000
Jellis,Kew,1925000
Marshall,Kew,2600000
Jellis,Kew,3900000
Jellis,Kew East,2400000
Frank,Kings Park,585000
Village,Kingsville,1480000
Biggin,Maidstone,830000
RT,Malvern,6300000
Sweeney,Maribyrnong,527000
Barry,Meadow Heights,480000
hockingstuart,Melton South,443000
FN,Melton West,465000
Buxton,Mentone,1535000
HAR,Mernda,720000
Cayzer,Middle Park,2650000
Ray,Mill Park,620000
Marshall,Mont Albert,2300000
Jellis,Moonee Ponds,1835000
McDonald,Moonee Ponds,1800000
McGrath/First,Mount Waverley,1000000
Barry,Mount Waverley,1400000
McGrath,Mount Waverley,1500000
Williams,Newport,1680000
Greg,Newport,850000
hockingstuart,Newport,1030000
Nelson,Niddrie,1340000
Nelson,Niddrie,1300000
Peter,North Melbourne,1270000
Nelson,Northcote,940000
McGrath,Northcote,1225000
Jellis,Northcote,2125000
Buxton,Parkdale,1100000
Jellis,Pascoe Vale,863000
Buxton,Patterson Lakes,975000
Barry,Point Cook,830000
Biggin,Prahran,1350000
Ray,Preston,635000
Nelson,Preston,1000000
McGrath,Preston,1250000
Ray,Reservoir,445000
Biggin,Richmond,1798000
Jellis,Richmond,1150000
hockingstuart,Richmond,2210000
Ray,Ringwood,955000
HAR,Roxburgh Park,600000
Harcourts,Seaford,955000
Jas,Seddon,1020000
Jas,South Kingsville,1030000
Barry,South Morang,702000
Jellis,South Yarra,2160000
LJ,Springvale,1120000
Barry,St Albans,475000
Marshall,St Kilda,3600000
Nelson,Strathmore,3300000
One,Sunbury,592000
One,Sunbury,545000
Douglas,Sunshine North,600000
Douglas,Sunshine North,695000
Barry,Sunshine West,760000
Douglas,Sunshine West,535000
Barry,Sunshine West,510000
hockingstuart,Surrey Hills,2665000
YPA,Tarneit,465000
Barry,Taylors Hill,720000
YPA,Taylors Hill,655000
Fletchers,Templestowe,1370000
Fletchers,Templestowe,1496000
Jellis,Thornbury,1530000
Love,Thornbury,816000
Woodards,Thornbury,1185000
RT,Toorak,2300000
Nelson,Travancore,972000
Ray,Vermont South,1120000
Miles,Viewbank,1150000
Harcourts,Wantirna South,980000
Barry,Warrandyte,3250000
Ray,Werribee,491500
Purplebricks,Werribee,580000
Greg,Werribee,430000
Jas,West Footscray,1230000
Williams,Williamstown,1600000
Williams,Williamstown,1150000
Williams,Williamstown,1150000
hockingstuart,Wollert,600000
HAR,Wollert,615000
Sweeney,Wyndham Vale,535000
hockingstuart,Wyndham Vale,421000
hockingstuart,Wyndham Vale,510000
Barry,Yallambie,825000
Village,Yarraville,1125000
Jas,Yarraville,1200000
hockingstuart,Abbotsford,480000
Jellis,Abbotsford,750000
Brad,Airport West,730000
Bells,Albion,820000
Sweeney,Altona,670000
Williams,Altona,765000
hockingstuart,Altona North,870000
Kay,Armadale,3200000
Rendina,Ascot Vale,1750000
Jellis,Ashwood,1680000
Purplebricks,Ashwood,860000
Moonee,Avondale Heights,750000
Ray,Balwyn,2380000
hockingstuart,Balwyn,2100000
RT,Balwyn,3050000
RT,Balwyn North,1557000
Jellis,Balwyn North,2050000
Schroeder,Bayswater,520000
Biggin,Bayswater,925000
Ray,Bayswater North,616000
hockingstuart,Bentleigh,2700000
Buxton,Bentleigh East,1525000
hockingstuart,Bentleigh East,1330000
C21,Berwick,608500
Hodges,Black Rock,879000
Noel,Blackburn North,1280000
Barry,Briar Hill,710500
Nick,Brighton East,2100000
Barry,Broadmeadows,310000
Jellis,Brunswick,510000
Raine,Brunswick,1925000
Woodards,Brunswick,890000
Nelson,Brunswick,1500000
Jellis,Brunswick West,312000
Nelson,Brunswick West,1010000
Ray,Bundoora,755000
Bekdon,Burwood,918000
Fletchers,Camberwell,2361000
hockingstuart,Carnegie,1550000
Ray,Carrum Downs,500000
Gary,Caulfield South,1237000
Ray,Cheltenham,861000
C21,Clayton,1462000
Ray,Craigieburn,600000
RW,Croydon North,820000
Buxton,Dingley Village,1100000
Barry,Doncaster,1120000
Philip,Doncaster East,850000
Noel,Doncaster East,1125000
Jellis,East Melbourne,1875000
Caine,East Melbourne,1350000
Biggin,Elsternwick,1460000
Biggin,Elsternwick,550000
Barry,Eltham,1065000
Morrison,Eltham,977500
hockingstuart,Elwood,810000
Hodges,Elwood,543000
Purplebricks,Epping,660000
Ray,Epping,568000
Harcourts,Epping,680000
Barry,Essendon,580000
Nelson,Essendon,970000
Jellis,Essendon,1195000
Brad,Essendon,1155000
Frank,Essendon North,800000
Jellis,Fawkner,1018000
Schroeder,Ferntree Gully,1100000
Jellis,Fitzroy,1394000
Trimson,Footscray,240000
Burnham,Footscray,310000
McDonald,Gisborne,540000
Barry,Gladstone Park,691000
VICProp,Glen Waverley,3056000
Jellis,Glen Waverley,2650000
Harcourts,Glen Waverley,655000
Harcourts,Glen Waverley,1550000
Stockdale,Glenroy,780000
Eview,Glenroy,780000
Nelson,Gowanbrae,945000
Barry,Greenvale,645000
REMAX,Hallam,601000
Buxton,Hampton,970000
Abercromby's,Hawthorn,7650000
Domain,Hawthorn,375000
Jellis,Hawthorn,1080000
Noel,Hawthorn East,2855000
Kay,Hawthorn East,3255000
Miles,Heidelberg,828000
Nelson,Heidelberg,1230000
Victory,Heidelberg Heights,590000
Ray,Huntingdale,1145000
Sweeney,Keilor Downs,550000
Nelson,Kensington,730000
Rendina,Kensington,392000
Hodges,Kensington,1150000
Biggin,Kensington,1415000
Marshall,Kew,3175000
Harcourts,Lalor,638000
Marshall,Malvern East,2520000
Frank,Maribyrnong,301000
MICM,Melbourne,740000
Ryder,Melton,420000
Obrien,Mentone,1051000
Buxton,Mentone,660000
Ray,Mill Park,865000
Noel,Mitcham,1302000
Noel,Mitcham,800000
McDonald,Moonee Ponds,1850000
Barry,Moonee Ponds,222000
iTRAK,Mooroolbark,581000
Ray,Mordialloc,1150000
McGrath,Mount Waverley,1352000
Jellis,Mount Waverley,1728000
Woodards,Mulgrave,902000
hockingstuart,Murrumbeena,1561000
Nelson,Niddrie,1300000
Barry,Notting Hill,840000
hockingstuart,Nunawading,1060000
Nelson,Oak Park,840000
Rendina,Oak Park,1071888
Eview,Oak Park,790000
Biggin,Oakleigh East,820000
hockingstuart,Oakleigh South,1218500
Buxton,Ormond,695000
Buxton,Parkdale,940000
Buxton,Parkdale,1300000
Nelson,Pascoe Vale,1199000
Marshall,Port Melbourne,1388000
Castran,Prahran,440000
RT,Prahran,2300000
McGrath,Preston,840000
Barry,Reservoir,510000
Barry,Reservoir,780000
Jellis,Richmond,1255000
Biggin,Richmond,1275000
Biggin,Richmond,1120000
Biggin,Richmond,1190000
Marshall,Richmond,1425000
Barry,Ringwood East,1175000
Carter,Ringwood North,755000
Jellis,Rowville,1005800
Ray,Skye,555698
Greg,South Melbourne,1250000
Greg,South Melbourne,407500
Greg,Southbank,642500
Ray,St Albans,460000
S&L,St Albans,610000
Sweeney,St Albans,500000
hockingstuart,St Kilda,615000
Raine,Sunbury,455000
GL,Sunshine,810000
Douglas,Sunshine,805000
hockingstuart,Surrey Hills,807000
YPA,Sydenham,471000
Barry,Taylors Hill,558000
Barry,Taylors Lakes,780000
Barry,Templestowe Lower,1240000
Love,Thornbury,756000
Noel,Vermont South,1050000
Nelson,Viewbank,940000
YPA,Werribee,830000
Marshall,Armadale,5525000
Nelson,Brunswick,1050000
Nelson,Brunswick,1691500
Jellis,Brunswick,1075000
Jellis,Armadale,440000
Nelson,Brunswick,501000
Rendina,Brunswick,1260000
Nelson,Brunswick,1650000
Brad,Brunswick,601000
Nelson,Brunswick,1015000
Jellis,Armadale,1300000
Jellis,Brunswick,625000
Collins,Brunswick,1700000
Jellis,Brunswick,435000
Nelson,Aberfeldie,1825000
Ray,Altona Meadows,541500
Nelson,Ascot Vale,1325000
Rendina,Ascot Vale,1750000
Nelson,Avondale Heights,1068000
Noel,Balwyn North,4050000
Buxton,Bentleigh East,1640000
Bowman,Botanic Ridge,750000
Buxton,Brighton,5150000
Buxton,Brighton East,950000
buyMyplace,Brighton East,2800000
Nelson,Brunswick,1470000
Jellis,Brunswick East,1475000
Nelson,Brunswick East,1895000
Pagan,Brunswick West,420500
Barry,Bulleen,1225000
Ray,Bundoora,820500
Fletchers,Burwood,1300000
Buxton,Burwood East,970000
Marshall,Camberwell,2230000
Marshall,Canterbury,3230000
hockingstuart,Carrum,980000
Harcourts,Carrum Downs,560000
McGrath,Chadstone,1150000
Hodges,Cheltenham,1495000
Nelson,Coburg,970000
Raine,Coburg,935000
Nelson,Collingwood,1460000
Stockdale,Craigieburn,600000
HAR,Craigieburn,468000
Barry,Craigieburn,616000
Barry,Craigieburn,583000
Barry,Craigieburn,470000
Ray,Craigieburn,615000
Stockdale,Dallas,475000
YPA,Dallas,505500
Jellis,Doncaster East,905000
Barry,Donvale,1440000
Morrison,Doreen,570000
Chisholm,Elwood,3200000
Nelson,Essendon,1110000
Frank,Essendon,2455000
Brad,Essendon,2500000
Nelson,Essendon North,820000
Stockdale,Fawkner,645000
Harcourts,Fawkner,542000
Stockdale,Ferntree Gully,725000
buyMyplace,Ferntree Gully,940000
Nelson,Fitzroy,1305000
Jellis,Fitzroy North,1450000
Nelson,Flemington,1175000
Jellis,Footscray,1420000
hockingstuart,Frankston North,595000
Barry,Gladstone Park,650000
Jellis,Glen Iris,2625000
Jellis,Glen Iris,1845000
Kay,Glen Iris,2640000
LLC,Glen Waverley,2380000
Ray,Glen Waverley,2202000
Morrison,Greensborough,750000
Barry,Greenvale,715000
Barry,Greenvale,1020000
Marshall,Hampton,4500000
Woodards,Heathmont,820000
Haughton,Heidelberg Heights,705000
Fletchers,Heidelberg West,645000
Barry,Hillside,680000
hockingstuart,Hoppers Crossing,693000
Charter,Keilor East,855000
Rendina,Kensington,939000
RT,Kew,3385000
Marshall,Kew,1625000
HAR,Lalor,591000
Biggin,Maribyrnong,1725000
O'Brien,Mentone,1460000
hockingstuart,Albanvale,506000
HAR,Ardeer,730000
Jellis,Armadale,1460000
Marshall,Armadale,1726000
Jellis,Ashburton,1920000
Jellis,Ashwood,1575000
hockingstuart,Balwyn North,2000000
Barry,Balwyn North,2270000
Fletchers,Balwyn North,1890000
Jellis,Bentleigh,1895000
Buxton,Bentleigh East,1280000
Jellis,Bentleigh East,1595000
Jellis,Brighton,1850000
Jellis,Brunswick East,320000
Purplebricks,Bulleen,1240000
Barry,Bundoora,1234000
Fletchers,Burwood East,1000000
Raine,Campbellfield,650000
Gary,Caulfield South,2450000
hockingstuart,Chelsea Heights,710000
Greg,Cheltenham,955000
Buxton,Cheltenham,1230000
Gary,Clarinda,883300
C21,Clarinda,790000
Nelson,Coburg,880000
Nelson,Coburg,1070000
Nelson,Coburg,1500000
Brad,Coburg,1085000
YPA,Craigieburn,582500
Ray,Craigieburn,480000
Barry,Craigieburn,523000
Ray,Craigieburn,485000
RW,Croydon,1152000
Barry,Dallas,475000
Barry,Dingley Village,970000
Barry,Donvale,1200000
Barry,Donvale,988000
Eview,Edithvale,875000
Biggin,Elsternwick,2105000
Biggin,Elsternwick,2410000
Morrison,Eltham,810000
Barry,Eltham North,1115000
hockingstuart,Elwood,1380000
Nelson,Essendon,1600000
Jellis,Fairfield,1280000
Noel,Ferntree Gully,875000
Nelson,Fitzroy,580000
Jellis,Flemington,1017500
Jas,Footscray,942000
Kay,Glen Iris,1300000
Jellis,Glen Iris,1307500
Jellis,Glen Iris,1390000
Harcourts,Glen Waverley,1310000
Ray,Glen Waverley,1285000
Barry,Glen Waverley,1292000
Ray,Glenroy,831000
YPA,Glenroy,570000
RW,Glenroy,805000
Nelson,Gowanbrae,931000
Buxton,Highett,1225000
Barry,Hillside,478000
Reliance,Hoppers Crossing,520000
Stockdale,Jacana,650000
Jellis,Keilor East,1295000
Nelson,Keilor East,1250000
Nelson,Keilor East,986000
Nelson,Keilor East,620000
Edward,Kensington,841000
Jellis,Kew,2180000
Nelson,Kew East,2118000
McGrath,Kilsyth,710000
McGrath,Kilsyth,780000
HAR,Lalor,700000
Marshall,Malvern East,2030000
Jellis,Malvern East,1800000
RW,Maribyrnong,1500000
Ryder,Melton South,460000
Ray,Mernda,547000
Fletchers,Montmorency,756000
Ray,Mount Evelyn,515000
Barry,Mount Waverley,1340000
Barry,Niddrie,1150000
Ray,Nunawading,1218000
Nelson,Pascoe Vale,980000
Nelson,Pascoe Vale,585500
Marshall,Prahran,1390000
Nelson,Preston,961000
Barry,Reservoir,876000
HAR,Reservoir,866000
Ray,Reservoir,775500
Ray,South Morang,597000
YPA,St Albans,626000
Considine,Strathmore Heights,1000000
Douglas,Sunshine North,502500
Douglas,Sunshine West,650000
Barry,Templestowe,1150000
Barry,Templestowe Lower,1280000
Noel,Vermont,1300000
Biggin,Vermont South,1360000
Barry,Wantirna South,1235000
hockingstuart,Werribee,490000
hockingstuart,Werribee,412700
RW,West Footscray,990000
Jas,West Footscray,1100500
Williams,Williamstown,2550000
Nelson,Yallambie,1025000
Greg,Armadale,704000
Marshall,Armadale,620000
Jellis,Brunswick,2500000
Jellis,Brunswick,860000
Jellis,Brunswick,491000
Jellis,Airport West,1025000
McLennan,Dandenong North,631000
McGrath,Kilsyth,650000
Ray,Knoxfield,935000
Mitchell,Seaford,760000
Barry,Wallan,430000
Harcourts,Wantirna,975000
Jellis,Brunswick,585000
Nelson,Brunswick,1900000
Nelson,Aberfeldie,2600000
Brad,Aberfeldie,1905000
Barry,Airport West,730000
Nelson,Airport West,926000
Sweeney,Albion,715000
Jellis,Alphington,1757000
Barry,Altona Meadows,417000
MICM,Altona Meadows,600000
Barlow,Altona Meadows,800000
Nelson,Ascot Vale,1700000
